iter	Passed	Remaining
0	57	57502
1	57	28865
2	58	19315
3	58	14538
4	58	11681
5	58	9758
6	59	8389
7	59	7360
8	59	6558
9	59	5923
10	60	5399
11	60	4962
12	60	4591
13	60	4278
14	60	4002
15	61	3760
16	61	3547
17	61	3357
18	61	3187
19	61	3035
20	62	2897
21	62	2771
22	62	2661
23	62	2556
24	63	2487
25	64	2401
26	64	2318
27	64	2244
28	64	2171
29	65	2103
30	65	2039
31	65	1979
32	65	1923
33	65	1871
34	66	1821
35	66	1775
36	66	1730
37	66	1688
38	66	1649
39	67	1611
40	67	1575
41	67	1540
42	67	1507
43	67	1475
44	68	1446
45	68	1417
46	68	1389
47	68	1363
48	68	1338
49	69	1313
50	69	1290
51	69	1268
52	69	1246
53	69	1225
54	70	1205
55	70	1186
56	70	1167
57	70	1149
58	70	1131
59	71	1114
60	71	1098
61	71	1082
62	71	1067
63	71	1051
64	72	1038
65	72	1023
66	72	1011
67	72	998
68	73	985
69	73	974
70	73	962
71	73	950
72	73	939
73	74	927
74	74	917
75	74	906
76	74	897
77	75	888
78	75	879
79	75	869
80	75	859
81	76	858
82	76	847
83	76	838
84	77	830
85	77	821
86	77	813
87	77	805
88	77	798
89	78	790
90	78	782
91	78	775
92	78	767
93	78	760
94	79	754
95	79	748
96	79	741
97	79	734
98	80	728
99	80	722
100	80	716
101	80	710
102	80	704
103	81	698
104	81	693
105	81	687
106	81	682
107	82	677
108	82	671
109	82	666
110	82	661
111	82	656
112	83	651
113	83	647
114	83	642
115	83	638
116	83	633
117	84	628
118	84	624
119	84	620
120	84	616
121	85	611
122	85	607
123	85	604
124	85	600
125	85	596
126	86	591
127	86	587
128	86	584
129	86	580
130	86	576
131	87	573
132	87	570
133	87	566
134	87	563
135	88	559
136	88	556
137	88	553
138	88	550
139	88	546
140	89	543
141	89	540
142	89	536
143	89	533
144	90	530
145	90	527
146	90	524
147	90	521
148	90	518
149	91	515
150	91	512
151	91	509
152	91	507
153	91	504
154	91	501
155	92	498
156	92	496
157	92	493
158	92	491
159	93	488
160	93	485
161	93	482
162	93	480
163	93	477
164	94	476
165	94	473
166	94	471
167	94	468
168	94	466
169	95	464
170	95	462
171	95	459
172	95	457
173	95	455
174	96	453
175	96	451
176	96	449
177	96	447
178	97	445
179	97	443
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	99	427
188	99	425
189	99	424
190	99	422
191	100	420
192	100	419
193	100	417
194	100	415
195	100	414
196	101	415
197	102	413
198	102	411
199	102	410
200	102	408
201	102	406
202	103	404
203	103	403
204	103	401
205	103	400
206	103	398
207	104	396
208	104	395
209	104	393
210	104	391
211	105	390
212	105	388
213	105	387
214	105	385
215	105	384
216	106	382
217	106	381
218	106	379
219	106	378
220	106	376
221	107	375
222	107	374
223	107	372
224	107	371
225	107	369
226	108	368
227	108	367
228	108	365
229	108	364
230	109	363
231	109	361
232	109	360
233	109	359
234	109	358
235	110	356
236	110	355
237	110	354
238	110	352
239	111	351
240	111	350
241	111	349
242	111	347
243	111	346
244	112	345
245	112	344
246	112	343
247	112	341
248	112	340
249	113	339
250	113	338
251	113	336
252	113	335
253	113	334
254	114	333
255	114	332
256	114	331
257	114	330
258	115	329
259	115	328
260	115	327
261	115	326
262	116	325
263	116	324
264	116	323
265	116	321
266	116	320
267	117	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	314
274	118	312
275	118	311
276	119	312
277	120	312
278	120	311
279	120	310
280	120	309
281	121	308
282	121	307
283	121	306
284	121	305
285	121	304
286	122	303
287	122	302
288	122	301
289	122	300
290	122	299
291	122	298
292	123	297
293	123	296
294	123	295
295	123	294
296	124	293
297	124	292
298	124	291
299	124	291
300	125	290
301	125	289
302	125	288
303	125	287
304	125	287
305	126	286
306	126	285
307	126	284
308	126	283
309	126	282
310	127	281
311	127	280
312	127	280
313	127	279
314	128	278
315	128	277
316	128	276
317	128	275
318	128	275
319	129	274
320	129	273
321	129	272
322	129	271
323	130	271
324	130	270
325	130	269
326	130	268
327	130	268
328	131	267
329	131	266
330	131	265
331	131	264
332	131	264
333	132	263
334	132	262
335	132	261
336	132	261
337	132	260
338	133	259
339	133	258
340	133	258
341	133	257
342	133	256
343	134	255
344	134	255
345	134	254
346	134	253
347	135	252
348	135	252
349	135	251
350	135	250
351	135	250
352	136	249
353	136	248
354	136	247
355	136	247
356	136	246
357	137	245
358	137	245
359	137	244
360	137	243
361	138	243
362	138	242
363	138	241
364	138	241
365	138	240
366	139	239
367	139	239
368	139	238
369	139	237
370	139	237
371	140	236
372	140	235
373	140	235
374	140	234
375	140	233
376	141	233
377	141	232
378	141	232
379	141	231
380	142	230
381	142	230
382	142	229
383	142	229
384	142	228
385	143	227
386	143	227
387	143	226
388	143	225
389	144	225
390	144	224
391	144	224
392	144	223
393	144	222
394	145	222
395	145	221
396	145	221
397	145	220
398	145	219
399	146	219
400	146	218
401	146	218
402	146	217
403	147	217
404	147	216
405	147	215
406	147	215
407	148	214
408	148	214
409	148	213
410	148	213
411	148	212
412	149	211
413	149	211
414	149	210
415	149	210
416	149	209
417	150	209
418	150	208
419	150	207
420	150	207
421	150	206
422	151	206
423	151	205
424	151	205
425	151	204
426	151	203
427	152	203
428	152	202
429	152	202
430	152	201
431	153	201
432	153	200
433	153	200
434	153	199
435	153	199
436	154	198
437	154	198
438	154	197
439	154	196
440	154	196
441	155	195
442	155	195
443	155	194
444	155	194
445	156	193
446	156	193
447	156	192
448	156	192
449	157	191
450	157	191
451	157	190
452	157	190
453	157	189
454	158	189
455	158	188
456	158	188
457	158	187
458	158	187
459	159	186
460	159	186
461	159	185
462	159	185
463	160	184
464	160	184
465	160	183
466	160	183
467	161	183
468	161	182
469	161	182
470	161	181
471	161	180
472	161	180
473	162	179
474	162	179
475	162	178
476	162	178
477	162	177
478	163	177
479	163	177
480	163	176
481	163	176
482	164	175
483	164	175
484	164	174
485	164	174
486	164	173
487	165	173
488	165	172
489	165	172
490	165	172
491	166	171
492	166	171
493	166	170
494	166	170
495	166	169
496	167	169
497	167	168
498	167	168
499	167	167
500	167	167
501	168	166
502	168	166
503	168	165
504	168	165
505	169	164
506	169	164
507	169	164
508	169	163
509	169	163
510	170	162
511	170	162
512	170	161
513	170	161
514	170	161
515	171	160
516	171	160
517	171	159
518	171	159
519	172	158
520	172	158
521	172	157
522	172	157
523	172	157
524	173	156
525	173	156
526	173	155
527	173	155
528	174	155
529	174	154
530	174	154
531	174	153
532	175	153
533	175	153
534	175	152
535	175	152
536	176	151
537	176	151
538	176	151
539	176	150
540	177	150
541	177	149
542	177	149
543	177	149
544	177	148
545	178	148
546	178	147
547	178	147
548	178	146
549	179	146
550	179	146
551	179	145
552	179	145
553	179	144
554	180	144
555	180	144
556	180	143
557	180	143
558	180	142
559	181	142
560	181	141
561	181	141
562	181	141
563	182	140
564	182	140
565	182	139
566	182	139
567	182	139
568	183	138
569	183	138
570	183	137
571	183	137
572	183	137
573	184	136
574	184	136
575	184	135
576	184	135
577	185	135
578	185	134
579	185	134
580	185	133
581	185	133
582	186	133
583	186	132
584	186	132
585	186	131
586	186	131
587	187	131
588	187	130
589	187	130
590	187	129
591	188	129
592	188	129
593	188	128
594	188	128
595	188	128
596	189	127
597	189	127
598	189	126
599	189	126
600	189	126
601	190	125
602	190	125
603	190	124
604	190	124
605	190	124
606	191	123
607	191	123
608	191	123
609	192	122
610	192	122
611	192	121
612	192	121
613	192	121
614	192	120
615	193	120
616	193	120
617	193	119
618	193	119
619	193	118
